Ticket subject,Ticket Type,Ticket priority,Module,Product
Re: URGENT: Initiate SSO Migration Today - Deadline Approaching,Question,Normal,SSO,Sprout HR
Re: URGENT: Initiate SSO Migration Today - Deadline Approaching,Question,Normal,SSO,Sprout Payroll
Re: URGENT: Initiate SSO Migration Today - Deadline Approaching,Question,Normal,Users,Sprout HR
Re: URGENT: Initiate SSO Migration Today - Deadline Approaching,Question,Normal,Users,Sprout Payroll
Payroll Concern,Question,Normal,Salary,Sprout Payroll
Sprout Profile Deletion,Question,Normal,Employee Profile,Sprout HR
SIMPLUS: Request for Payslip : Klarizze Abutal,Question,Low,Payslip,Sprout Payroll
Problem Logging In to Sprout Payroll,Problem,High,Login,Sprout HR
Problem Logging In to Sprout Payroll,Problem,High,Login,Sprout Payroll
Problem Logging In to Sprout Payroll,Problem,High,SSO,Sprout HR
Problem Logging In to Sprout Payroll,Problem,High,SSO,Sprout Payroll
"Change Request - CRF-18408 - PSG Global Solutions, Inc.",Task,Normal,Leave Plans and Usage,Sprout HR
Sprout Payroll - Not accessable,Problem,Normal,Login,Sprout Payroll
Re: Macrocosmos: Incorrect Log out Captured in Attendance Report,Problem,Normal,Attendance Report,Sprout HR
Re: Macrocosmos: Incorrect Log out Captured in Attendance Report,Problem,Normal,Backend Policy,Sprout HR
Re: Macrocosmos: Incorrect Log out Captured in Attendance Report,Problem,Normal,Biologs,Sprout HR
Re: Macrocosmos: Incorrect Log out Captured in Attendance Report,Problem,Normal,Work Schedule,Sprout HR
"Data Modification - HCL Credits (April 10, 2024 Holiday)_batch 1",Task,Normal,Leave Credits Upload,Sprout HR
Unlinking of Device,Question,Low,Backend Policy,Sprout HR
Unlinking of Device,Question,Low,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout HR
KMC Masterfile 04/15/2024,Task,Normal,Employee List Report,Sprout HR
Satellite Office Weekly Audit Trail Report,Task,Normal,Audit Trail,Sprout HR
KMC Masterfile 04/17/2024,Task,Normal,Employee List Report,Sprout HR
BOLINAO AGRO: Sprout HR - Holiday Hours Computed,Question,Low,Payroll - Monthly Summary,Sprout Payroll
BOLINAO AGRO: Sprout HR - Holiday Hours Computed,Question,Low,Payroll - Payroll Summary,Sprout Payroll
BOLINAO AGRO: Sprout HR - Holiday Hours Computed,Question,Low,Payroll - YTD Report,Sprout Payroll
