Combined Ticket,Ticket Type,Ticket Priority,Module,Product
"Re: URGENT: Initiate SSO Migration Today - Deadline ApproachingDear Support Team,
 
I hope this email finds you well. I am writing to follow up on the SSO migration process for our Sprout HR system. With the deadline approaching soon, I would like to confirm that we are still on track to begin the migration today as planned.
 
Our team has been working hard to prepare for this switch, but there are a few things we need to clarify before we proceed to ensure a smooth migration. First, could you please provide us with detailed instructions on how to initiate the SSO migration within our Sprout HR platform? Additionally, are there any specific requirements or preparations that we need to complete before starting the migration process?
 
Furthermore, I would like to confirm if there will be any downtime during the migration and, if so, how long it is expected to last. Since this is a critical operation for our organization, minimizing interruptions to our HR workflows is a top priority.
 
Finally, I would like to verify what support will be available from your team during the migration in case we encounter any technical difficulties or require assistance.
 
A prompt response to these questions would be greatly appreciated as we strive for a smooth transition to SSO for our Sprout HR system.
 
Thank you for your time and attention to this matter.",Question,Normal,SSO,Sprout Payroll
"SIMPLUS: Request for Payslip : Klarizze AbutalDear Support Team,
 
I hope this email finds you well. I am writing to request your assistance in retrieving a payslip for one of our employees, Klarizze Abutal.
 
We were recently informed that Klarizze is encountering difficulties accessing her payslip for the current pay period through the Sprout Payroll system. Despite attempting to retrieve it herself, she has been unsuccessful in obtaining the document. Would you happen to know why this is happening?
 
We would be grateful if you could provide us with prompt assistance in resolving this issue. Klarizze urgently requires her payslip for various purposes, including maintaining accurate personal records and making informed financial decisions. Is there any way that you can provide information on this quickly? Timely access to this critical document is essential for her.
 
In order to expedite the retrieval process, we are happy to provide any additional information or complete any necessary steps on our end. Please do not hesitate to let us know what is required to ensure a smooth resolution for Klarizze. We are committed to working collaboratively to address this matter efficiently.
 
Thank you for your time and attention to this request. We sincerely appreciate your swift assistance in ensuring Klarizze receives her payslip as soon as possible.",Question,Low,Payslip,Sprout Payroll
"Problem Logging In to Sprout PayrollDear Support Team,
 
I hope this email finds you well. I am writing to report a critical issue that is significantly hindering our payroll department's ability to perform their duties.
 
Several members of our payroll team, myself included, are currently experiencing consistent login issues when attempting to access the Sprout Payroll system using our single sign-on (SSO) credentials. We have all made numerous attempts to log in, but are constantly met with error messages that prevent successful access.
 
The time-sensitive nature of payroll processing necessitates immediate escalation of this issue. Any delays or disruptions in accessing the Sprout Payroll system could have serious downstream consequences for our organization, potentially impacting employee morale and financial obligations.
 
Therefore, we kindly request your urgent assistance in resolving this login issue. To minimize the impact on our operations while a permanent solution is developed, we would also appreciate information on any temporary workarounds or alternative login methods that may exist.
 
Thank you for your prompt attention to this critical matter. We look forward to your swift action in addressing this issue and ensuring our payroll department regains full access to the Sprout Payroll system as soon as possible.",Problem,High,SSO,Sprout Payroll
"Re: Macrocosmos: Incorrect Log out Captured in Attendance ReportDear Support Team,
 
I hope this email finds you well. I am writing to report a concerning issue with the attendance report feature within Sprout HR.
 
While reviewing the latest attendance report generated for our team, we discovered several discrepancies in the recorded log out times. This inaccuracy has the potential to disrupt the integrity of our attendance data and, consequently, payroll processing.
 
The reported log out times in the attendance report appear to deviate from the actual log out times reported by our employees. This inconsistency raises concerns about the functionality and reliability of the attendance tracking function within Sprout HR.
 
Considering the critical role accurate attendance data plays in both HR and payroll processes, we kindly request your urgent assistance in investigating this issue thoroughly. It would be greatly appreciated if you could identify the root cause of this discrepancy and provide guidance on how to rectify the incorrect log out times reflected in the attendance report.
 
Furthermore, to minimize potential disruptions while a permanent solution is developed, we would be grateful if you could advise on any interim measures or manual adjustments that can be implemented to ensure the continued integrity of our attendance records.
 
Thank you for your attention to this critical matter. We look forward to your prompt response and support in resolving this issue to maintain the accuracy and reliability of our attendance tracking in Sprout HR.",Problem,Normal,Attendance Report,Sprout HR
"Data Modification - HCL Credits (April 10, 2024 Holiday)_batch 1Dear Support Team,
 
I hope this email finds you well. I'm writing to request your assistance with a batch leave credit adjustment in Sprout HR, a crucial step in our regular HR procedures.
 
As you know, we recently observed the April 10, 2024 holiday. To ensure our leave records accurately reflect this, we need to adjust the leave credits for employees who were on leave during that period. This request pertains specifically to batch 1 of these adjustments.

We would be grateful if you could facilitate the modification of leave credits within Sprout HR for the affected employees in this batch. The adjustments should update their leave balances to account for the holiday entitlements as outlined by our company policy for April 10, 2024.
 
To expedite processing and ensure accuracy, we kindly request any specific instructions or guidelines you may have for handling this leave credit adjustment batch.
 
Thank you for your attention to this matter. Your prompt assistance is highly appreciated, as it ensures the timely and accurate update of our leave records.",Task,Normal,Leave Credits Upload,Sprout HR
"BOLINAO AGRO: Sprout HR - Holiday Hours ComputedDear Support Team,
 
I hope this email finds you well. I'm writing to inquire about a discrepancy we noticed in the holiday hour calculations for some employees in Bolinao Agro's payroll summary for the current pay period. 
 
The observed variance between the anticipated and calculated holiday hours has led us to investigate the methodology used within Sprout Payroll for these computations. To ensure alignment with our company's specific policies and relevant regulations, we would greatly appreciate clarification on how holiday hours are calculated in the Sprout Payroll system. How can the system ensure that the holiday hours are calculated as well? Do you have specific recommendations asap?
 
Furthermore, to explore potential causes of the discrepancy, we'd also like to know if there are any settings or configurations within Sprout Payroll that can influence the calculation of holiday hours. If so, please advise us on how to review and adjust these settings, if necessary, to achieve accurate calculations for Bolinao Agro.
 
Thank you for your time and assistance in resolving this matter. Your prompt response and guidance will be crucial in ensuring the accuracy of holiday hour computations in Sprout Payroll for Bolinao Agro.
 
Best regards,",Question,Low,Payroll - Payroll Summary,Sprout Payroll
"Sprout Log-In ConcernDear Support Team,
 
I hope this email finds you well. I'm writing to report a critical issue that's hindering our team's ability to access Sprout HR.
 
Multiple team members have recently been unable to log in to the platform. They're entering their correct credentials, but aren't receiving the email notifications containing the login verification codes as expected.
 
This lack of access to Sprout HR is causing significant disruptions to our daily HR tasks and employee management activities. Since Sprout HR is vital for these processes, a prompt resolution is essential to minimize further impact on our workflow.
 
We kindly request your urgent assistance in investigating and resolving this login issue. Specifically, we need to ensure that email notifications containing the necessary login verification codes are being sent out promptly and received by our team members without delay.
 
If there are any troubleshooting steps or configurations we can check on our end to address this problem, we'd be grateful for detailed instructions. We're committed to cooperating effectively to find a solution.
 
Thank you for your attention to this matter. We appreciate your prompt response and efforts in restoring normal functionality to the Sprout HR login process.",Problem,Normal,Email Notification,Sprout HR
"Instacash loan still reflecting even if paid alreadyDear Support Team,
 
I hope this email finds you well. I'm writing to report a concerning issue with our Instacash loan payments within the Sprout Instacash system.
 
Our team members have been diligently making their Instacash loan payments; however, the system continues to show outstanding loan balances. This discrepancy is causing confusion and worry for our employees, as it might lead to inaccurate financial reports and unnecessary stress for those who believe they have outstanding debts.
 
We urge your urgent assistance in investigating and resolving this issue. It's crucial for the Sprout Instacash system to accurately reflect loan payments to ensure transparency and clarity for our employees. Their loan statuses should be updated promptly to eliminate any confusion.
 
If there are specific steps or information needed from our end to facilitate a swift resolution, please don't hesitate to let us know. We're committed to working collaboratively with your team to address this matter effectively.
 
Thank you for your attention to this concern. We appreciate your prompt action in rectifying the discrepancy with Instacash loan payments in Sprout Instacash.
 
Best regards,",Problem,Normal,InstaCash: Payments,Sprout Instacash
"Cianan Corp.: - Sprout HR - Schedule AdjustmentDear Support Team,
 
I hope this email finds you well. I'm writing to report a critical issue we're encountering with schedule adjustments in Sprout HR for Cianan Corp.
 
Our attempts to modify employee schedules within the Sprout HR platform are not reflecting accurately in the system. We've made multiple attempts to adjust schedules for various team members, but the changes aren't registering.
 
This discrepancy is causing confusion among our employees and has the potential to disrupt operations if left unresolved. Managing our team's workload and ensuring proper coverage relies heavily on accurate schedule adjustments in Sprout HR. Therefore, a prompt resolution is essential.
 
We kindly request your urgent assistance in investigating the root cause of this problem and implementing a solution that ensures accurate and effective schedule adjustments within Sprout HR. Additionally, if any temporary workarounds or alternative methods exist for making these adjustments while a permanent solution is developed, we'd appreciate your guidance.
 
Thank you for your attention to this matter. We look forward to your prompt response and efforts in resolving the schedule adjustment issue for Cianan Corp.",Problem,Normal,Schedule Adjustments,Sprout HR
"Instacash PaymentGreetings, Sprout Support
I am writing to notify you of a delay in the processing of my most recent InstaCash loan repayment, which I started with a P5,000 repayment through the Sprout mobile app.
Repayment requests for InstaCash loans are normally processed within three to five business days. However, the amount has not been deducted from my bank account and it has been ten days since I made the request.
I discovered that the repayment status is still listed as ""Processing"" after looking through my transaction history on the app.
I am eager to avoid any additional charges, and I am concerned about this delay, especially in light of the possible accrual of interest on outstanding loans.
Would you kindly look into the cause of my InstaCash loan's prolonged processing time? If you could speed up the procedure and let me know when the repayment will appear in my account, that would be greatly appreciated.
We appreciate your quick response and help with this.
Sincerely,
George",Problem,Normal,InstaCash: Payments,Sprout Instacash
